Year,region,Mean
2007,Rangpur,0.06905034324044722
2008,Bogra,0.05315377523078015
2008,Dinajpur,0.05771421530901706
2008,Ishwardi,0.041922568823333096
2008,Rajshahi,0.042627748984354105
2008,Rangpur,0.06095757572392411
2009,Bogra,0.04071955394627082
2009,Dinajpur,0.06391797919152223
2009,Ishwardi,0.03992733074506661
2009,Rajshahi,0.03278670199577391
2009,Rangpur,0.06826175112372283
2010,Bogra,0.04490113163202105
2010,Dinajpur,0.0652043025270708
2010,Ishwardi,0.03660549424263749
2010,Rajshahi,0.031753196640556744
2010,Rangpur,0.07634257774549276
2011,Bogra,0.06345802696584822
2011,Dinajpur,0.06785962641214871
2011,Ishwardi,0.06986529467727279
2011,Rajshahi,0.05801929183954439
2011,Rangpur,0.07673907281528344
2012,Bogra,0.039830670000049674
2012,Dinajpur,0.060517542508133834
2012,Ishwardi,0.041241354214488234
2012,Rajshahi,0.04338662750451443
2012,Rangpur,0.0706496293096604
2013,Bogra,0.04215105263045024
2013,Dinajpur,0.07208264599275045
2013,Ishwardi,0.045083187548769
2013,Rajshahi,0.046327984379892384
2013,Rangpur,0.07084483560403136
2014,Bogra,0.05935911656420625
2014,Dinajpur,0.05463592197126054
2014,Ishwardi,0.057488700822487984
2014,Rajshahi,0.045662293168181246
2014,Rangpur,0.0594545598480936
2015,Bogra,0.05046163877382645
2015,Dinajpur,0.07194003650421575
2015,Ishwardi,0.056355554362313584
2015,Rajshahi,0.048523683682503295
2015,Rangpur,0.08251844890795733
2016,Bogra,0.03220578775740698
2016,Dinajpur,0.05862955014611134
2016,Ishwardi,0.04430769144907095
2016,Rajshahi,0.046178710417512175
2016,Rangpur,0.06953854050856945
